City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1073,Wajir,KE,81.28,few clouds,1.75,40.06,Al- Amin lodge
1074,Tucurui,BR,84.4,light rain,-3.77,-49.67,BBB Rooms Centro Tucurui PA
1084,Palauig,PH,81.05,very heavy rain,15.44,119.9,Myhousebythesea
1092,San Jose,US,89.01,few clouds,37.34,-121.89,The Westin San Jose
1095,Bien Hoa,VN,78.8,broken clouds,10.95,106.82,OYO 991 Duy Anh Hotel
1100,Kuruman,ZA,75.99,scattered clouds,-27.45,23.43,Cornerstone Guest House
1105,Candoni,PH,75.4,overcast clouds,9.82,122.6,Villa Cornelia -Spring Resort
1106,Celestun,MX,82.15,light rain,20.87,-90.4,Posada Lilia
1109,Aracoiaba Da Serra,BR,75.0,clear sky,-23.51,-47.61,Hotel Fazenda Estância Reviver
1111,Huandacareo,MX,80.6,scattered clouds,19.98,-101.28,Balneario Vista Bella
1113,Henderson,US,90.0,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
1114,Pascagoula,US,87.8,few clouds,30.37,-88.56,Regency Inn
1115,Cairns,AU,81.0,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
1122,Tahoua,NE,84.2,clear sky,14.89,5.27,Bungalows Guesthouse
1123,Pochutla,MX,87.8,few clouds,15.74,-96.47,Hotel Posada San Jose
1124,Pucallpa,PE,87.8,scattered clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
1134,Mahajanga,MG,78.8,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
1135,San Fernando,PH,77.0,broken clouds,15.03,120.69,Maharlika Hostel
1140,Puerto Cabezas,NI,83.05,light rain,14.04,-83.39,Hotel Caribe
1141,Palu,ID,75.43,scattered clouds,-0.89,119.87,Hotel Santika Palu
1142,Itacoatiara,BR,83.86,light rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
1143,Brownsville,US,89.6,few clouds,25.9,-97.5,Hotel Alameda Express
1146,Maracaju,BR,83.34,light rain,-21.61,-55.17,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
1154,Pasni,PK,77.04,few clouds,25.26,63.47,3G hotel pasni
1158,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
1168,Acarau,BR,79.81,broken clouds,-2.89,-40.12,castelo pizzaria
1174,Santarem,BR,89.6,few clouds,-2.44,-54.71,Hotel Imperador
1175,Denpasar,ID,77.0,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
1181,Sena Madureira,BR,79.52,broken clouds,-9.07,-68.66,Hotel Suzani
1184,Salto,UY,75.2,broken clouds,-31.38,-57.97,Gran Hotel Uruguay
1186,Varkkallai,IN,80.6,mist,8.73,76.71,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
1190,Salinas,US,79.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
1196,Barra Dos Coqueiros,BR,80.6,few clouds,-10.91,-37.04,Quality Hotel Aracaju
1210,Manggar,ID,80.17,light rain,-2.88,108.27,Guest Hotel
1214,Arecibo,PR,84.0,scattered clouds,18.47,-66.72,Caño Tiburones Guest House
