City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Picota,PE,-6.92,-76.33,77.0,88,40,4.7,scattered clouds
313,Havre-Saint-Pierre,CA,50.23,-63.6,37.4,74,90,10.29,light rain
314,Aksu,CN,41.12,80.26,45.21,49,0,1.07,clear sky
315,Nanortalik,GL,60.14,-45.24,33.78,87,100,19.26,overcast clouds
316,Nizhnyaya Tavda,RU,57.67,66.17,30.15,97,0,5.48,clear sky
317,San Quintin,MX,30.48,-115.95,71.76,67,13,10.49,few clouds
318,Dunda,TZ,-8.12,34.25,71.02,57,99,2.33,overcast clouds
319,Magan,ES,39.97,-3.93,64.0,74,59,4.0,broken clouds
320,Maniitsoq,GL,65.42,-52.9,30.9,95,90,7.25,overcast clouds
321,Prainha,BR,-1.8,-53.48,88.0,43,40,4.52,scattered clouds
322,Opuwo,NA,-18.06,13.84,61.66,55,0,8.03,clear sky
323,Kahului,US,20.89,-156.47,87.8,45,1,8.05,clear sky
324,Ca Mau,VN,9.18,105.15,75.33,95,98,3.83,light rain
325,Rawson,AR,-43.3,-65.1,61.9,35,86,27.56,overcast clouds
326,Kununurra,AU,-15.77,128.73,78.8,94,84,4.7,broken clouds
327,Alice Springs,AU,-23.7,133.88,78.8,39,2,3.36,clear sky
328,Ipanema,BR,-30.14,-51.22,71.01,100,90,19.46,overcast clouds
329,Batemans Bay,AU,-35.72,150.18,60.01,91,25,4.16,scattered clouds
330,Santa Cruz Del Sur,CU,20.71,-78.0,82.78,73,67,3.47,light rain
331,Bandarbeyla,SO,9.49,50.81,79.83,64,20,2.35,few clouds
332,Qasigiannguit,GL,68.82,-51.19,28.4,68,89,3.36,overcast clouds
333,Ionia,US,42.99,-85.07,53.6,54,1,9.17,clear sky
334,Baracoa,CU,20.35,-74.5,80.91,81,100,4.65,light rain
335,Pacific Grove,US,36.62,-121.92,79.0,53,1,6.93,clear sky
336,Sault Sainte Marie,CA,46.52,-84.33,42.8,75,90,8.05,overcast clouds
337,Ixtapa,MX,20.7,-105.2,89.01,79,40,10.29,scattered clouds
338,Tharad,IN,24.4,71.63,82.65,61,2,7.05,clear sky
339,Kungurtug,RU,50.6,97.52,25.83,89,14,2.37,few clouds
340,Linhares,BR,-19.39,-40.07,71.55,95,66,3.31,broken clouds
341,Mecca,SA,21.43,39.83,75.94,22,0,3.58,clear sky
342,Pizarro,CO,4.95,-77.37,78.84,87,100,9.31,light rain
343,Chapais,CA,49.78,-74.85,32.0,100,90,3.36,light rain
344,Broome,US,42.25,-75.83,69.8,60,20,13.87,few clouds
345,Ondjiva,AO,-17.07,15.73,75.43,22,37,12.44,scattered clouds
346,Aurich,DE,53.47,7.48,59.0,87,75,20.8,broken clouds
347,Dzhida,RU,50.68,106.18,27.01,85,37,4.03,scattered clouds
348,Yajalon,MX,17.23,-92.33,87.8,66,20,5.82,few clouds
349,Mahanje,TZ,-9.93,35.33,69.44,65,87,1.45,overcast clouds
350,Coihaique,CL,-45.58,-72.07,60.8,31,0,10.29,clear sky
351,Talara,PE,-4.58,-81.27,66.36,81,16,17.34,few clouds
352,Laguna,US,38.42,-121.42,89.01,23,1,6.93,clear sky
353,Hamada,JP,34.88,132.08,63.0,45,100,1.01,moderate rain
354,Marsa Matruh,EG,31.35,27.25,73.4,60,0,6.78,clear sky
355,Gushikawa,JP,26.35,127.87,75.2,94,20,5.82,light rain
356,Litovko,RU,49.24,135.17,45.54,91,100,7.4,light rain
357,Papara,BR,-3.98,-38.73,81.0,83,40,11.41,scattered clouds
358,Beyneu,KZ,45.32,55.2,41.16,68,53,12.19,broken clouds
359,Thompson,CA,55.74,-97.86,30.2,58,75,6.93,broken clouds
360,Kholtoson,RU,50.3,103.31,25.3,89,0,2.82,clear sky
